id	target_verse	token
 019001001001	019001001	blessed
 019001001002	019001001	is
 019001001003	019001001	the
 019001001004	019001001	man
 019001001005	019001001	who
 019001001006	019001001	hath
 019001001007	019001001	not
 019001001008	019001001	walked
 019001001009	019001001	in
 019001001010	019001001	the
 019001001011	019001001	counsel
 019001001012	019001001	of
 019001001013	019001001	the
 019001001014	019001001	ungodly
 019001001015	019001001	,
 019001001016	019001001	nor
 019001001017	019001001	stood
 019001001018	019001001	in
 019001001019	019001001	the
 019001001020	019001001	way
 019001001021	019001001	of
 019001001022	019001001	sinners
 019001001023	019001001	,
 019001001024	019001001	nor
 019001001025	019001001	sat
 019001001026	019001001	in
 019001001027	019001001	the
 019001001028	019001001	chair
 019001001029	019001001	of
 019001001030	019001001	pestilence
 019001001031	019001001	.
 019001002001	019001002	but
 019001002002	019001002	his
 019001002003	019001002	will
 019001002004	019001002	is
 019001002005	019001002	in
 019001002006	019001002	the
 019001002007	019001002	law
 019001002008	019001002	of
 019001002009	019001002	the
 019001002010	019001002	lord
 019001002011	019001002	,
 019001002012	019001002	and
 019001002013	019001002	on
 019001002014	019001002	his
 019001002015	019001002	law
 019001002016	019001002	he
 019001002017	019001002	shall
 019001002018	019001002	meditate
 019001002019	019001002	day
 019001002020	019001002	and
 019001002021	019001002	night
 019001002022	019001002	.
 019001003001	019001003	and
 019001003002	019001003	he
 019001003003	019001003	shall
 019001003004	019001003	be
 019001003005	019001003	like
 019001003006	019001003	a
 019001003007	019001003	tree
 019001003008	019001003	which
 019001003009	019001003	is
 019001003010	019001003	planted
 019001003011	019001003	near
 019001003012	019001003	the
 019001003013	019001003	running
 019001003014	019001003	waters
 019001003015	019001003	,
 019001003016	019001003	which
 019001003017	019001003	shall
 019001003018	019001003	bring
 019001003019	019001003	forth
 019001003020	019001003	its
 019001003021	019001003	fruit
 019001003022	019001003	,
 019001003023	019001003	in
 019001003024	019001003	due
 019001003025	019001003	season
 019001003026	019001003	.
 019001003027	019001003	and
 019001003028	019001003	his
 019001003029	019001003	leaf
 019001003030	019001003	shall
 019001003031	019001003	not
 019001003032	019001003	fall
 019001003033	019001003	off
 019001003034	019001003	:
 019001003035	019001003	and
 019001003036	019001003	all
 019001003037	019001003	whatsoever
 019001003038	019001003	he
 019001003039	019001003	shall
 019001003040	019001003	do
 019001003041	019001003	shall
 019001003042	019001003	prosper
 019001003043	019001003	.
 019001004001	019001004	not
 019001004002	019001004	so
 019001004003	019001004	the
 019001004004	019001004	wicked
 019001004005	019001004	,
 019001004006	019001004	not
 019001004007	019001004	so
 019001004008	019001004	:
 019001004009	019001004	but
 019001004010	019001004	like
 019001004011	019001004	the
 019001004012	019001004	dust
 019001004013	019001004	,
 019001004014	019001004	which
 019001004015	019001004	the
 019001004016	019001004	wind
 019001004017	019001004	driveth
 019001004018	019001004	from
 019001004019	019001004	the
 019001004020	019001004	face
 019001004021	019001004	of
 019001004022	019001004	the
 019001004023	019001004	earth
 019001004024	019001004	.
 019001005001	019001005	therefore
 019001005002	019001005	the
 019001005003	019001005	wicked
 019001005004	019001005	shall
 019001005005	019001005	not
 019001005006	019001005	rise
 019001005007	019001005	again
 019001005008	019001005	in
 019001005009	019001005	judgment
 019001005010	019001005	:
 019001005011	019001005	nor
 019001005012	019001005	sinners
 019001005013	019001005	in
 019001005014	019001005	the
 019001005015	019001005	council
 019001005016	019001005	of
 019001005017	019001005	the
 019001005018	019001005	just
 019001005019	019001005	.
 019001006001	019001006	for
 019001006002	019001006	the
 019001006003	019001006	lord
 019001006004	019001006	knoweth
 019001006005	019001006	the
 019001006006	019001006	way
 019001006007	019001006	of
 019001006008	019001006	the
 019001006009	019001006	just
 019001006010	019001006	:
 019001006011	019001006	and
 019001006012	019001006	the
 019001006013	019001006	way
 019001006014	019001006	of
 019001006015	019001006	the
 019001006016	019001006	wicked
 019001006017	019001006	shall
 019001006018	019001006	perish
 019001006019	019001006	.
 019002001001	019002001	why
 019002001002	019002001	have
 019002001003	019002001	the
 019002001004	019002001	gentiles
 019002001005	019002001	raged
 019002001006	019002001	,
 019002001007	019002001	and
 019002001008	019002001	the
 019002001009	019002001	people
 019002001010	019002001	devised
 019002001011	019002001	vain
 019002001012	019002001	things
 019002001013	019002001	?
 019002002001	019002002	the
 019002002002	019002002	kings
 019002002003	019002002	of
