id	source_verse	text
01001001001	01001001	В
01001001002	01001001	начале
01001001003	01001001	сотворил
01001001004	01001001	Бог
01001001005	01001001	небо
01001001006	01001001	и
01001001007	01001001	землю
01001001008	01001001	.
01001002001	01001002	Земля
01001002002	01001002	же
01001002003	01001002	была
01001002004	01001002	безвидна
01001002005	01001002	и
01001002006	01001002	пуста
01001002007	01001002	,
01001002008	01001002	и
01001002009	01001002	тьма
01001002010	01001002	над
01001002011	01001002	бездною
01001002012	01001002	,
01001002013	01001002	и
01001002014	01001002	Дух
01001002015	01001002	Божий
01001002016	01001002	носился
01001002017	01001002	над
01001002018	01001002	водою
01001002019	01001002	.
01001003001	01001003	И
01001003002	01001003	сказал
01001003003	01001003	Бог
01001003004	01001003	:
01001003005	01001003	да
01001003006	01001003	будет
01001003007	01001003	свет
01001003008	01001003	.
01001003009	01001003	И
01001003010	01001003	стал
01001003011	01001003	свет
01001003012	01001003	.
01001004001	01001004	И
01001004002	01001004	увидел
01001004003	01001004	Бог
01001004004	01001004	свет
01001004005	01001004	,
01001004006	01001004	что
01001004007	01001004	он
01001004008	01001004	хорош
01001004009	01001004	,
01001004010	01001004	и
01001004011	01001004	отделил
01001004012	01001004	Бог
01001004013	01001004	свет
01001004014	01001004	от
01001004015	01001004	тьмы
01001004016	01001004	.
01001005001	01001005	И
01001005002	01001005	назвал
01001005003	01001005	Бог
01001005004	01001005	свет
01001005005	01001005	днем
01001005006	01001005	,
01001005007	01001005	а
01001005008	01001005	тьму
01001005009	01001005	ночью
01001005010	01001005	.
01001005011	01001005	И
01001005012	01001005	был
01001005013	01001005	вечер
01001005014	01001005	,
01001005015	01001005	и
01001005016	01001005	было
01001005017	01001005	утро
01001005018	01001005	:
01001005019	01001005	день
01001005020	01001005	один
01001005021	01001005	.
01001006001	01001006	И
01001006002	01001006	сказал
01001006003	01001006	Бог
01001006004	01001006	:
01001006005	01001006	да
01001006006	01001006	будет
01001006007	01001006	твердь
01001006008	01001006	посреди
01001006009	01001006	воды
01001006010	01001006	,
01001006011	01001006	и
01001006012	01001006	да
01001006013	01001006	отделяет
01001006014	01001006	она
01001006015	01001006	воду
01001006016	01001006	от
01001006017	01001006	воды
01001006018	01001006	.
01001006019	01001006	[
01001006020	01001006	И
01001006021	01001006	стало
01001006022	01001006	так
01001006023	01001006	.
01001006024	01001006	]
01001007001	01001007	И
01001007002	01001007	создал
01001007003	01001007	Бог
01001007004	01001007	твердь
01001007005	01001007	,
01001007006	01001007	и
01001007007	01001007	отделил
01001007008	01001007	воду
01001007009	01001007	,
01001007010	01001007	которая
01001007011	01001007	под
01001007012	01001007	твердью
01001007013	01001007	,
01001007014	01001007	от
01001007015	01001007	воды
01001007016	01001007	,
01001007017	01001007	которая
01001007018	01001007	над
01001007019	01001007	твердью
01001007020	01001007	.
01001007021	01001007	И
01001007022	01001007	стало
01001007023	01001007	так
01001007024	01001007	.
01001008001	01001008	И
01001008002	01001008	назвал
01001008003	01001008	Бог
01001008004	01001008	твердь
01001008005	01001008	небом
01001008006	01001008	.
01001008007	01001008	[
01001008008	01001008	И
01001008009	01001008	увидел
01001008010	01001008	Бог
01001008011	01001008	,
01001008012	01001008	что
01001008013	01001008	это
01001008014	01001008	хорошо
01001008015	01001008	.
01001008016	01001008	]
01001008017	01001008	И
01001008018	01001008	был
01001008019	01001008	вечер
01001008020	01001008	,
01001008021	01001008	и
01001008022	01001008	было
01001008023	01001008	утро
01001008024	01001008	:
01001008025	01001008	день
01001008026	01001008	второй
01001008027	01001008	.
01001009001	01001009	И
01001009002	01001009	сказал
01001009003	01001009	Бог
01001009004	01001009	:
01001009005	01001009	да
01001009006	01001009	соберется
01001009007	01001009	вода
01001009008	01001009	,
01001009009	01001009	которая
01001009010	01001009	под
01001009011	01001009	небом
01001009012	01001009	,
01001009013	01001009	в
01001009014	01001009	одно
01001009015	01001009	место
01001009016	01001009	,
01001009017	01001009	и
01001009018	01001009	да
01001009019	01001009	явится
01001009020	01001009	суша
01001009021	01001009	.
01001009022	01001009	И
01001009023	01001009	стало
01001009024	01001009	так
01001009025	01001009	.
01001009026	01001009	[
01001009027	01001009	И
01001009028	01001009	собралась
01001009029	01001009	вода
01001009030	01001009	под
01001009031	01001009	небом
01001009032	01001009	в
01001009033	01001009	свои
01001009034	01001009	места
01001009035	01001009	,
01001009036	01001009	и
01001009037	01001009	явилась
01001009038	01001009	суша
01001009039	01001009	.
01001009040	01001009	]
01001010001	01001010	И
01001010002	01001010	назвал
01001010003	01001010	Бог
01001010004	01001010	сушу
01001010005	01001010	землею
01001010006	01001010	,
01001010007	01001010	а
01001010008	01001010	собрание
01001010009	01001010	вод
01001010010	01001010	назвал
01001010011	01001010	морями
01001010012	01001010	.
01001010013	01001010	И
01001010014	01001010	увидел
01001010015	01001010	Бог
01001010016	01001010	,
01001010017	01001010	что
01001010018	01001010	это
01001010019	01001010	хорошо
01001010020	01001010	.
01001011001	01001011	И
01001011002	01001011	сказал
01001011003	01001011	Бог
01001011004	01001011	:
01001011005	01001011	да
01001011006	01001011	произрастит
01001011007	01001011	земля
01001011008	01001011	зелень
01001011009	01001011	,
01001011010	01001011	траву
01001011011	01001011	,
01001011012	01001011	сеющую
01001011013	01001011	семя
01001011014	01001011	[
01001011015	01001011	по
01001011016	01001011	роду
01001011017	01001011	и
01001011018	01001011	по
01001011019	01001011	подобию
01001011020	01001011	ее
01001011021	01001011	,
01001011022	01001011	и
01001011023	01001011	]
01001011024	01001011	дерево
01001011025	01001011	плодовитое
01001011026	01001011	,
01001011027	01001011	приносящее
01001011028	01001011	по
01001011029	01001011	роду
01001011030	01001011	своему
01001011031	01001011	плод
01001011032	01001011	,
01001011033	01001011	в
01001011034	01001011	котором
01001011035	01001011	семя
01001011036	01001011	его
01001011037	01001011	на
01001011038	01001011	земле
01001011039	01001011	.
01001011040	01001011	И
01001011041	01001011	стало
01001011042	01001011	так
01001011043	01001011	.
01001012001	01001012	И
01001012002	01001012	произвела
01001012003	01001012	земля
01001012004	01001012	зелень
01001012005	01001012	,
01001012006	01001012	траву
01001012007	01001012	,
01001012008	01001012	сеющую
01001012009	01001012	семя
01001012010	01001012	по
01001012011	01001012	роду
01001012012	01001012	[
01001012013	01001012	и
01001012014	01001012	по
01001012015	01001012	подобию
01001012016	01001012	]
01001012017	01001012	ее
01001012018	01001012	,
01001012019	01001012	и
01001012020	01001012	дерево
01001012021	01001012	[
01001012022	01001012	плодовитое
01001012023	01001012	]
01001012024	01001012	,
01001012025	01001012	приносящее
01001012026	01001012	плод
01001012027	01001012	,
01001012028	01001012	в
01001012029	01001012	котором
01001012030	01001012	семя
01001012031	01001012	его
01001012032	01001012	по
01001012033	01001012	роду
01001012034	01001012	его
01001012035	01001012	[
01001012036	01001012	на
01001012037	01001012	земле
01001012038	01001012	]
01001012039	01001012	.
01001012040	01001012	И
01001012041	01001012	увидел
01001012042	01001012	Бог
01001012043	01001012	,
01001012044	01001012	что
01001012045	01001012	это
01001012046	01001012	хорошо
01001012047	01001012	.
01001013001	01001013	И
01001013002	01001013	был
01001013003	01001013	вечер
01001013004	01001013	,
01001013005	01001013	и
01001013006	01001013	было
01001013007	01001013	утро
01001013008	01001013	:
01001013009	01001013	день
01001013010	01001013	третий
01001013011	01001013	.
01001014001	01001014	И
01001014002	01001014	сказал
01001014003	01001014	Бог
01001014004	01001014	:
01001014005	01001014	да
01001014006	01001014	будут
01001014007	01001014	светила
01001014008	01001014	на
01001014009	01001014	тверди
01001014010	01001014	небесной
01001014011	01001014	[
01001014012	01001014	для
01001014013	01001014	освещения
01001014014	01001014	земли
01001014015	01001014	и
01001014016	01001014	]
01001014017	01001014	для
01001014018	01001014	отделения
