id	source_verse	text	id_range_end	source_verse_range_end
08001001	08001001	न्यायी लोगों के शासन के दिनों में ऐसा हुआ कि देश में अकाल पड़ा। और यहूदा के बैतलहम का एक पुरुष अपनी स्त्री और दोनों पुत्रों को संग लेकर मोआब के देश में परदेशी होकर रहने के लिए चला।		
08001002	08001002	और उस पुरुष का नाम एलीमेलेक, और उसकी पत्नी का नाम नाओमी, और उसके दो बेटों के नाम महलोन और किल्योन थे; ये एप्राती अर्थात् यहूदा के बैतलहम के रहनेवाले थे। तो उन्होंने मोआब प्रदेश की तरफ यात्रा की और वहां रहने लगे।		
08001003	08001003	तब नाओमी का पति एलीमेलेक मर गया, और वह और उसके दोनों पुत्र रह गए।		
08001004	08001004	और उन्होंने एक-एक मोआबिन स्त्री ब्याह ली: पहली स्त्री का नाम ओर्पा था और दूसरी स्त्री का नाम रूत था। फिर वे वहाँ कोई दस वर्ष रहे।		
08001005	08001005	और महलोन और किल्योन दोनों भी मर गए, और वह स्त्री अपने दोनों पुत्रों और पति से वंचित हो गई।		
08001006	08001006	तब वह मोआब के देश से अपनी दोनों बहुओं समेत लौट जाने को चली क्योंकि उसने सुना था कि यहोवा ने अपनी प्रजा के लोगों की सुधि ले के उन्हें भोजनवस्तु दी है।		
08001007	08001007	अतः वह अपनी दोनों बहुओं समेत उस स्थान से जहाँ रहती थी निकली, और उन्होंने यहूदा देश को लौट जाने का मार्ग लिया।		
08001008	08001008	तब नाओमी ने अपनी दोनों बहुओं से कहा, “तुम अपने-अपने मायके लौट जाओ। और जैसे तुम ने उनसे जो मर गए हैं और मुझसे भी प्रीति की है, वैसे ही यहोवा तुम पर कृपा करे।		
08001009	08001009	यहोवा ऐसा करे कि तुम फिर अपने-अपने पति के घर में विश्राम पाओ।” तब नाओमी ने उनको चूमा, और वे चिल्ला चिल्लाकर रोने लगीं,		
08001010	08001010	पर उन्होंने उससे कहा, “किन्तु, हम तेरे संग तेरे लोगों के पास चलेंगी।”		
08001011	08001011	पर नाओमी ने कहा, “हे मेरी बेटियों, लौट जाओ, तुम क्यों मेरे संग चलोगी? क्या मेरी कोख में और पुत्र हैं जो तुम्हारे पति हों?		
08001012	08001012	हे मेरी बेटियों, लौटकर चली जाओ, क्योंकि मैं पति करने को बूढ़ी हो चुकी हूँ। और चाहे मैं कहती भी, कि मुझे आशा है, और आज की रात मेरा पति होता भी, और मेरे पुत्र भी होते,		
