id	source_verse	text	id_range_end	source_verse_range_end
08001001	08001001	उस समय के दौरान न्यायी लोग इस्राएल पर राज्य करते थे, वहां उस देश में अकाल पड़ा। इस्राएल देश के यहूदा क्षेत्र में बैतलहम के नगर को एक व्यक्ति ने छोड़ दिया और कुछ समय के लिए मोआब देश में रहने के लिए चला गया। उसकी पत्नी और उसके दो बेटे उसके साथ गए।		
08001002	08001002	उस व्यक्ति का नाम एलीमेलेक था और उसकी पत्नी का नाम नाओमी था। उसके दो बेटों के नाम महलोन और किल्योन थे। वह यहूदा के बैतलहम के एप्राती के वंश से थे। वो मोआब की भूमि पर आये और वहां रहे।		
08001003	08001003	तब नाओमी के पति एलीमेलेक की मृत्यु हो गई, और नाओमी के साथ सिर्फ उसके दो बेटे थे जो उसके साथ थे।		
08001004	08001004	बेटों ने मोआबी स्त्रियों से विवाह किया। एक स्त्री का नाम ओर्पा था और दूसरी स्त्री का नाम रूत था। पर जब वो उस क्षेत्र में दस वर्ष तक रह चुके थे ,		
08001005	08001005	महलोन और किल्योन भी मर गए। इसलिए फिर नाओमी अपने बेटों एवं पति के बिना अकेली रह गयी।		
08001006	08001006	एक दिन जबकि नाओमी मोआब में थी, उसने सुना कोई कह रहा है कि यहोवा ने अपने लोगों की सहायता की थी और अभी इस्राएल में बहुतायत से भोजन है। इसलिए वह अपनी दोनों बहुओं के साथ बैतलहम लौटने को तैयार हुई।		
08001007	08001007	उन्होंने उस स्थान को छोड़ दिया जहाँ वो रह रहे थे और यहूदा के देश के लिए वापसी यात्रा की शुरुआत करी।		
08001008	08001008	जब वो चल रहे थे, नाओमी ने अपनी दोनों बहुओं से कहा, “तुम दोनों को मुड़ना चाहिए और अपनी माता के घर वापस लौट जाना चाहिए। मैं यहोवा से याचना कर रही हूँ कि वह तुम्हारे साथ वैसा ही विश्वासयोग्य रहे जैसा विश्वासयोग्य वह हमारे मरे हुए पतियों के लिए और मेरे लिए है।		
08001009	08001009	मैं यहोवा से मांग रही हूँ कि वह तुम दोनों को एक और पति पाने की अनुमति दे जिनके साथ तुम्हारा एक सुरक्षित घर हो।” तब उसने उनमें से प्रत्येक को चूमा, और वे ज़ोर से रोयीं।		
08001010	08001010	उन दोनों ने कहा, “नहीं, हम आपके साथ आपके सम्बन्धियों के पास वापस जायेंगीं।”		
08001011	08001011	पर नाओमी ने कहा, “नहीं, मेरी पुत्रियों, घर लौट जाओ। मेरे साथ आने से तुम्हें कुछ लाभ न होगा! मेरे लिए यह संभव नहीं कि मेरे और पुत्र हों जो कि तुम्हारे पति बन सकें।		
08001012	08001012	तुमको वापस लौट जाना चाहिए, मेरी बेटियों । मेरे लिए बहुत देर हो गई है कि मैं अपने लिए एक और पति करूँ। भले ही मैं सोचूं कि मेरा एक और पति हो , और आज रात को मेरा विवाह भी हो जाए और अधिक पुत्र भी हो जाएँ ,		
08001013	08001013	तुम उनके बड़े होने तक इंतज़ार नहीं करोगी, तुम तब तक अविवाहित नहीं रह सकतीं ! नहीं, मेरी पुत्रियों! यहोवा ने मेरे जीवन में पीड़ा देकर मुझे मारा है। पर तुम्हारे जीवनों को ऐसे पीड़ादायक होने की ज़रूरत नहीं जैसे मेरा जीवन।”		
08001014	08001014	तब रूत और ओर्पा फिर ज़ोर ज़ोर से रोयीं। ओर्पा ने अपनी सास को चूम कर अलविदा कहा और चली गयी , परन्तु रूत नाओमी के साथ रही।		
08001015	08001015	नाओमी ने उससे कहा, “देख! तेरी जिठानी अपने सम्बन्धियों और अपने देवताओं के पास वापस जा रही है! उसके साथ वापस जा!”		
08001016	08001016	परन्तु रूत ने उत्तर दिया, “नहीं! कृपया आपको छोड़ने और मुझे वापस जाने के लिए मत ज़ोर दें ! जहाँ आप जाओगी, उधर मैं भी जाऊँगी। जहाँ आप रहोगी, उधर मैं भी रहूँगी। आपके सम्बन्धी मेरे सम्बन्धी होंगे, और मैं उन परमेश्वर की आराधना करुँगी जिस परमेश्वर की आप आराधना करती हो।		
08001017	08001017	जहाँ आप मरेंगीं वहाँ मैं भी मरूँगी और वो मुझे वहीँ दफ़नायेंगे। अगर मैं मरने से पहले आपको छोडूं तो यहोवा मुझे कठोरता से दण्डित करे।”		
08001018	08001018	जब नाओमी को एहसास हुआ कि रूत उसके साथ ही बने रहना चाहती है , तो उसने उससे घर लौटने का आग्रह बंद कर दिया।		
