id	source_verse	text	id_range_end	source_verse_range_end
40001001	40001001	Inilah salasilah Isa al-Masih, keturunan Daud, keturunan Ibrahim.		
40001002	40001002	Ibrahim beroleh anak yang dinamai Ishak, Ishak beroleh Yakub, dan Yakub beroleh Yudah serta saudara-saudaranya.		
40001003	40001003	Yudah beroleh Peres dan Zerah daripada isterinya Tamar, Peres beroleh Hezron, dan Hezron beroleh Ram.		
40001004	40001004	Ram beroleh Aminadab, Aminadab beroleh Nahason, dan Nahason beroleh Salmon.		
40001005	40001005	Salmon beroleh Boas daripada isterinya Rahab, Boas beroleh Obed daripada isterinya Rut, dan Obed beroleh Isai,		
40001006	40001006	dan Isai beroleh Raja Daud. Raja Daud beroleh Sulaiman daripada isteri Uria.		
40001007	40001007	Sulaiman beroleh Rehabeam, Rehabeam beroleh Abia, dan Abia beroleh Asa.		
40001008	40001008	Asa beroleh Yosafat, Yosafat beroleh Yoram, dan Yoram beroleh Uzia.		
40001009	40001009	Uzia beroleh Yotam, Yotam beroleh Ahaz, dan Ahaz beroleh Hizkia.		
40001010	40001010	Hizkia beroleh Manasye, Manasye beroleh Amon, dan Amon beroleh Yosia.		
40001011	40001011	Yosia beroleh Yoyakhin dan saudara-saudaranya sekitar masa mereka dibawa sebagai tawanan di Babel.		
40001012	40001012	Seterusnya, Yoyakhin beroleh Sealtiel, dan Sealtiel beroleh Zerubabel.		
40001013	40001013	Zerubabel beroleh Abihud, Abihud beroleh Elyakim, dan Elyakim beroleh Azur.		
40001014	40001014	Azur beroleh Zadok, Zadok beroleh Akhim, dan Akhim beroleh Eliud.		
40001015	40001015	Eliud beroleh Eleazar, Eleazar beroleh Matan, dan Matan beroleh Yakub.		
40001016	40001016	Maka Yakub beroleh Yusuf, suami Maryam, Maryamlah yang melahirkan Isa yang dipanggil al-Masih.		
40001017	40001017	Dengan demikian, ada empat belas keturunan dari Ibrahim hingga ke Daud; empat belas keturunan dari Daud hingga ke masa pembuangan di Babel; dan empat belas keturunan dari masa itu hingga kelahiran al-Masih.		
40001018	40001018	Inilah kisah kelahiran Isa al-Masih: Ibu-Nya, Maryam bertunang dengan Yusuf, tetapi sebelum perkahwinan mereka dilangsungkan, Maryam mengandung melalui kuasa Roh Suci.		
40001019	40001019	Yusuf, seorang yang takwa dan berakhlak, tidak mahu memalukan Maryam di mata masyarakat. Dia berniat memutuskan pertunangan mereka secara diam-diam.		
40001020	40001020	Dia memikirkan hal itu sehalus-halusnya. Suatu malam dia bermimpi malaikat Tuhan memperlihatkan diri kepadanya lalu berkata, ‘Hai Yusuf keturunan Daud! Janganlah takut mengambil Maryam sebagai isterimu. Dia mengandung melalui kuasa Roh Suci.		
40001021	40001021	Maryam akan melahirkan seorang anak lelaki. Namakanlah anak itu Isa. Dia akan menyelamatkan umat-Nya daripada dosa mereka.’		
40001022	40001022	Segala ini terjadi supaya berlakulah firman Tuhan melalui nabi-Nya:		
40001023	40001023	‘Seorang anak dara akan mengandung, dan melahirkan seorang anak lelaki, maka Anak itu akan dipanggil Immanuel’ bererti, ‘Allah menyertai kita’ dalam bahasa Ibrani.		
40001024	40001024	Apabila Yusuf terjaga, dia pun mematuhi apa yang disampaikan oleh malaikat Tuhan itu lalu berkahwin dengan Maryam.		
40001025	40001025	Tetapi Yusuf tidak menyentuh Maryam sebagai isterinya hinggalah Maryam melahirkan Anak itu. Yusuf menamai Anak itu Isa.		
40002001	40002001	Isa dilahirkan di Baitlahim, Yudea, semasa pemerintahan Raja Herodes. Tidak lama kemudian datanglah beberapa orang ahli ilmu bintang dari Timur ke Baitulmaqdis.		
40002002	40002002	Mereka bertanya, ‘Di manakah Anak yang baru lahir, yang akan menjadi Raja orang Yahudi? Kami melihat bintang-Nya muncul di Timur, dan kami datang hendak menyembah-Nya.’		
40002003	40002003	Apabila mendengar perkara itu, Raja Herodes berasa risau, begitu juga semua penduduk Baitulmaqdis.		
40002004	40002004	Raja Herodes memanggil semua ketua imam dan guru Taurat berhimpun lalu bertanya, ‘Raja yang dijanjikan oleh Allah itu, di manakah tempat lahirnya?’		
40002005	40002005	Mereka menjawab, ‘Di Baitlahim, Yudea. Seorang nabi telah bernubuat tentangnya:		
40002006	40002006	‘Hai Baitlahim di Yudea, Kau bukanlah yang terkecil antara kota utama Yudea, kerana daripadamu akan muncul seorang Pemimpin yang akan memimpin umat-Ku Israel.’		
40002007	40002007	Setelah itu Raja Herodes berjumpa secara rahsia dengan ahli-ahli ilmu bintang itu dan mendapat tahu daripada mereka dengan tepat bila bintang itu terbit.		
40002008	40002008	Raja Herodes menyuruh ahli-ahli ilmu bintang pergi ke Baitlahim dengan perintah demikian: ‘Pergilah dan carilah Anak itu sedaya upaya. Apabila kamu menjumpai-Nya beritahulah aku, supaya aku juga dapat pergi menyembah-Nya.’		
40002009	40002009	Mereka pun pergi. Di pertengahan jalan, mereka melihat bintang yang telah muncul di Timur dahulu kini mendahului mereka dan berhenti di atas tempat Anak itu.		
40002010	40002010	Sungguh gembira mereka apabila melihat bintang itu.		
40002011	40002011	Mereka masuk ke situ dan melihat Anak itu dengan ibu-Nya Maryam. Mereka pun sujud menyembah Anak itu, lalu mempersembahkan emas, dupa dan mur kepada-Nya.		
40002012	40002012	Allah memberikan peringatan kepada mereka melalui mimpi supaya jangan kembali kepada Herodes. Oleh itu mereka pun pulang ke negeri mereka mengikut jalan lain.		
40002013	40002013	Selepas itu malaikat Tuhan menampakkan diri dalam mimpi kepada Yusuf lalu berkata, ‘Herodes akan mengeluarkan perintah supaya mencari dan membunuh Anak itu. Bangunlah. Bawalah Anak itu dan ibu-Nya ke Mesir. Tinggallah di situ hingga Aku berfirman kepadamu.’		
40002014	40002014	Yusuf pun bangun. Pada malam itu juga dia membawa Anak itu dan ibu-Nya ke Mesir.		
40002015	40002015	Mereka tinggal di situ hingga kematian Raja Herodes. Maka berlakulah firman Tuhan menerusi nabi-Nya: ‘Aku memanggil Putera-Ku keluar dari Mesir.’		
40002016	40002016	Setelah Raja Herodes sedar dirinya ditipu oleh ahli-ahli ilmu bintang dari Timur itu, dia pun marah lalu mengeluarkan perintah untuk membunuh semua anak lelaki yang berusia dua tahun ke bawah di Baitlahim dan kawasan yang berdekatan. Usia itu berdasarkan maklumat yang diberikan oleh ahli-ahli ilmu bintang tentang masa bintang itu mula-mula muncul.		
40002017	40002017	Oleh yang demikian berlakulah apa yang dinubuatkan oleh Yeremia:		
40002018	40002018	‘Satu suara terdengar di Ramah, rintih ratap dan perkabungan. Rahel meratapi anak-anaknya, tidak mungkin dilipur hatinya, kerana mereka tiada lagi.’		
40002019	40002019	Selepas kematian Herodes, malaikat Tuhan menampakkan diri dalam mimpi kepada Yusuf di Mesir.		
