xml:id	macula_text	after	english
o010010050011	וַ		and
o010010050012	יִּקְרָ֨א	 	called
o010010050021	אֱלֹהִ֤ים	׀	God
o010010050031	לָ		to
o010010050031ה			the
o010010050032	אוֹר֙	 	light
o010010050041	י֔וֹם	 	day
o010010050051	וְ		and
o010010050052	לַ		to
o010010050052ה			the
o010010050053	חֹ֖שֶׁךְ	 	darkness
o010010050061	קָ֣רָא	 	called
o010010050071	לָ֑יְלָה	 	night
o010010050081	וַֽ		and
o010010050082	יְהִי	־	there was
o010010050091	עֶ֥רֶב	 	evening
o010010050101	וַֽ		and
o010010050102	יְהִי	־	there was
o010010050111	בֹ֖קֶר	 	morning
o010010050121	י֥וֹם	 	day
o010010050131	אֶחָֽד	׃פ	first
