id	source_verse	text	space_after	skip_space_after	is_punct	eligible
01001001001	01001001	In				
01001001002	01001001	the				
01001001003	01001001	beginning				
01001001004	01001001	God				
01001001005	01001001	created				
01001001006	01001001	the				
01001001007	01001001	heavens				
01001001008	01001001	and				
01001001009	01001001	the				
01001001010	01001001	earth	n	y		
01001001011	01001001	.			y	n
01001005001	01001005	God				
01001005002	01001005	called				
01001005003	01001005	the				
01001005004	01001005	light				
01001005005	01001005	“	n	y	y	n
01001005006	01001005	day	n	y		
01001005007	01001005	,	n	y	y	n
01001005008	01001005	”			y	n
01001005009	01001005	and				
01001005010	01001005	the				
01001005011	01001005	darkness				
01001005012	01001005	He				
01001005013	01001005	called				
01001005014	01001005	“	n	y	y	n
01001005015	01001005	night	n	y		
01001005016	01001005	.	n	y	y	n
01001005017	01001005	”			y	n
01001005018	01001005	And				
01001005019	01001005	there				
01001005020	01001005	was				
01001005021	01001005	evening	n	y		
01001005022	01001005	,			y	n
01001005023	01001005	and				
01001005024	01001005	there				
01001005025	01001005	was				
01001005026	01001005	morning	n	y		
01001005027	01001005	—	n	y	y	n
01001005028	01001005	the				
01001005029	01001005	first				
01001005030	01001005	day	n	y		
01001005031	01001005	.			y	n
41001001001	41001001	This				
41001001002	41001001	is				
41001001003	41001001	the				
41001001004	41001001	beginning				
41001001005	41001001	of				
41001001006	41001001	the				
41001001007	41001001	gospel				
41001001008	41001001	of				
41001001009	41001001	Jesus				
41001001010	41001001	Christ	n	y		
41001001011	41001001	,			y	n
41001001012	41001001	the				
41001001013	41001001	Son				
41001001014	41001001	of				
41001001015	41001001	God	n	y		
41001001016	41001001	.			y	n
41001002001	41001002	As				
41001002002	41001002	it				
41001002003	41001002	is				
41001002004	41001002	written				
41001002005	41001002	in				
41001002006	41001002	Isaiah				
41001002007	41001002	the				
41001002008	41001002	prophet	n	y		
41001002009	41001002	:			y	n
41001002010	41001002	“	n	y	y	n
41001002011	41001002	Behold	n	y		
41001002012	41001002	,			y	n
41001002013	41001002	I				
41001002014	41001002	will				
41001002015	41001002	send				
41001002016	41001002	My				
41001002017	41001002	messenger				
41001002018	41001002	ahead				
41001002019	41001002	of				
41001002020	41001002	You	n	y		
41001002021	41001002	,			y	n
41001002022	41001002	who				
41001002023	41001002	will				
41001002024	41001002	prepare				
41001002025	41001002	Your				
41001002026	41001002	way	n	y		
41001002027	41001002	.	n	y	y	n
41001002028	41001002	”			y	n
41001003001	41001003	“	n	y	y	n
41001003002	41001003	A				
41001003003	41001003	voice				
41001003004	41001003	of				
41001003005	41001003	one				
41001003006	41001003	calling				
41001003007	41001003	in				
41001003008	41001003	the				
41001003009	41001003	wilderness	n	y		
41001003010	41001003	,			y	n
41001003011	41001003	‘	n	y	y	n
41001003012	41001003	Prepare				
41001003013	41001003	the				
41001003014	41001003	way				
41001003015	41001003	for				
41001003016	41001003	the				
41001003017	41001003	Lord	n	y		
41001003018	41001003	,				
41001003019	41001003	make			y	n
41001003020	41001003	straight				
41001003021	41001003	paths				
41001003022	41001003	for				
41001003023	41001003	Him	n	y		
41001003024	41001003	.	n	y	y	n
41001003025	41001003	’	n	y	y	n
41001003026	41001003	”			y	n
